sample_id,suggested_parent,suggested_confidence,source_file,priority_score,approved_parent,label_status,reviewer_note
SYN_00236,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00494,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00568,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00812,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00989,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00131,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00398,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00665,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00807,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00889,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00018,SY,0.864,sasang_predictions_from_btrack_eval_full_mapped_latest.jsonl,0.8912,,PENDING_HUMAN_LABEL,
SYN_00118,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00215,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00354,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00530,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00680,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00811,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00008,SY,0.856,sasang_predictions_from_btrack_eval_full_mapped_latest.jsonl,0.8848,,PENDING_HUMAN_LABEL,
SYN_00023,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00142,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00209,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00461,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00618,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00755,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
