sample_id,suggested_parent,suggested_confidence,source_file,priority_score,approved_parent,label_status,reviewer_note
SYN_00310,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00564,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00804,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00944,TE,0.927773,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.892218,,PENDING_HUMAN_LABEL,
SYN_00116,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00226,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00514,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00787,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00881,SY,0.927195,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.891756,,PENDING_HUMAN_LABEL,
SYN_00017,SY,0.864,sasang_predictions_from_btrack_eval_full_mapped_latest.jsonl,0.8912,,PENDING_HUMAN_LABEL,
SYN_00048,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00179,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00292,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00516,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00663,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00810,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00991,TE,0.924946,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.889957,,PENDING_HUMAN_LABEL,
SYN_00020,TE,0.856,sasang_predictions_from_btrack_eval_full_mapped_latest.jsonl,0.8848,,PENDING_HUMAN_LABEL,
SYN_00120,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00174,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00350,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00517,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
SYN_00685,TY,0.914527,sasang_encoder_smoke_predictions_sentence-transformers__all-MiniLM-L6-v2.jsonl,0.881622,,PENDING_HUMAN_LABEL,
