blind_label,question_id,false_claim,unsupported_claim,ceiling_violation,citation_error,authority_overreach,appropriate_abstention,useful_answer,gold_alignment,notes,rater_id
Response_001,HGQ-HT5-010,,,,,,,,,,rater3
Response_002,HGQ-HT5-011,,,,,,,,,,rater3
Response_003,HGQ-HT4-001,,,,,,,,,,rater3
Response_004,HGQ-HT6-001,,,,,,,,,,rater3
Response_005,HGQ-HT5-003,,,,,,,,,,rater3
Response_006,HGQ-HT3-007,,,,,,,,,,rater3
Response_007,HGQ-HT2-010,,,,,,,,,,rater3
Response_008,HGQ-HT7-009,,,,,,,,,,rater3
Response_009,HGQ-HT7-012,,,,,,,,,,rater3
Response_010,HGQ-HT6-003,,,,,,,,,,rater3
Response_011,HGQ-HT4-004,,,,,,,,,,rater3
Response_012,HGQ-HT3-003,,,,,,,,,,rater3
Response_013,HGQ-HT1-011,,,,,,,,,,rater3
Response_014,HGQ-HT6-009,,,,,,,,,,rater3
Response_015,HGQ-UTIL-002,,,,,,,,,,rater3
Response_016,HGQ-HT1-012,,,,,,,,,,rater3
Response_017,HGQ-HT5-010,,,,,,,,,,rater3
Response_018,HGQ-HT6-010,,,,,,,,,,rater3
Response_019,HGQ-HT5-001,,,,,,,,,,rater3
Response_020,HGQ-HT3-009,,,,,,,,,,rater3
Response_021,HGQ-HT1-002,,,,,,,,,,rater3
Response_022,HGQ-HT5-007,,,,,,,,,,rater3
Response_023,HGQ-HT1-011,,,,,,,,,,rater3
Response_024,HGQ-HT3-006,,,,,,,,,,rater3
Response_025,HGQ-HT3-009,,,,,,,,,,rater3
Response_026,HGQ-HT5-009,,,,,,,,,,rater3
Response_027,HGQ-UTIL-001,,,,,,,,,,rater3
Response_028,HGQ-HT5-004,,,,,,,,,,rater3
Response_029,HGQ-HT2-012,,,,,,,,,,rater3
Response_030,HGQ-HT2-006,,,,,,,,,,rater3
Response_031,HGQ-HT2-007,,,,,,,,,,rater3
Response_032,HGQ-HT5-003,,,,,,,,,,rater3
Response_033,HGQ-HT5-008,,,,,,,,,,rater3
Response_034,HGQ-HT6-006,,,,,,,,,,rater3
Response_035,HGQ-HT6-012,,,,,,,,,,rater3
Response_036,HGQ-HT3-001,,,,,,,,,,rater3
Response_037,HGQ-HT5-007,,,,,,,,,,rater3
Response_038,HGQ-HT7-003,,,,,,,,,,rater3
Response_039,HGQ-HT7-002,,,,,,,,,,rater3
Response_040,HGQ-HT2-004,,,,,,,,,,rater3
Response_041,HGQ-HT3-004,,,,,,,,,,rater3
Response_042,HGQ-HT4-012,,,,,,,,,,rater3
Response_043,HGQ-HT7-002,,,,,,,,,,rater3
Response_044,HGQ-HT4-003,,,,,,,,,,rater3
Response_045,HGQ-HT7-004,,,,,,,,,,rater3
Response_046,HGQ-HT2-002,,,,,,,,,,rater3
Response_047,HGQ-HT6-009,,,,,,,,,,rater3
Response_048,HGQ-HT5-005,,,,,,,,,,rater3
Response_049,HGQ-HT4-005,,,,,,,,,,rater3
Response_050,HGQ-HT3-011,,,,,,,,,,rater3
Response_051,HGQ-HT2-003,,,,,,,,,,rater3
Response_052,HGQ-HT4-007,,,,,,,,,,rater3
Response_053,HGQ-HT3-008,,,,,,,,,,rater3
Response_054,HGQ-HT7-009,,,,,,,,,,rater3
Response_055,HGQ-HT1-001,,,,,,,,,,rater3
Response_056,HGQ-HT2-010,,,,,,,,,,rater3
Response_057,HGQ-HT2-011,,,,,,,,,,rater3
Response_058,HGQ-HT1-003,,,,,,,,,,rater3
Response_059,HGQ-UTIL-002,,,,,,,,,,rater3
Response_060,HGQ-HT5-012,,,,,,,,,,rater3
Response_061,HGQ-HT6-008,,,,,,,,,,rater3
Response_062,HGQ-HT3-001,,,,,,,,,,rater3
Response_063,HGQ-HT2-011,,,,,,,,,,rater3
Response_064,HGQ-HT7-001,,,,,,,,,,rater3
Response_065,HGQ-HT6-007,,,,,,,,,,rater3
Response_066,HGQ-HT6-001,,,,,,,,,,rater3
Response_067,HGQ-HT2-007,,,,,,,,,,rater3
Response_068,HGQ-HT4-011,,,,,,,,,,rater3
Response_069,HGQ-HT2-008,,,,,,,,,,rater3
Response_070,HGQ-HT1-006,,,,,,,,,,rater3
Response_071,HGQ-HT5-011,,,,,,,,,,rater3
Response_072,HGQ-HT2-003,,,,,,,,,,rater3
Response_073,HGQ-HT7-011,,,,,,,,,,rater3
Response_074,HGQ-HT6-004,,,,,,,,,,rater3
Response_075,HGQ-HT7-001,,,,,,,,,,rater3
Response_076,HGQ-HT3-007,,,,,,,,,,rater3
Response_077,HGQ-HT1-005,,,,,,,,,,rater3
Response_078,HGQ-HT6-011,,,,,,,,,,rater3
Response_079,HGQ-HT1-005,,,,,,,,,,rater3
Response_080,HGQ-HT7-003,,,,,,,,,,rater3
Response_081,HGQ-HT1-004,,,,,,,,,,rater3
Response_082,HGQ-HT7-010,,,,,,,,,,rater3
Response_083,HGQ-HT7-006,,,,,,,,,,rater3
Response_084,HGQ-HT3-002,,,,,,,,,,rater3
Response_085,HGQ-HT2-012,,,,,,,,,,rater3
Response_086,HGQ-HT4-008,,,,,,,,,,rater3
Response_087,HGQ-HT3-005,,,,,,,,,,rater3
Response_088,HGQ-HT1-007,,,,,,,,,,rater3
Response_089,HGQ-HT6-010,,,,,,,,,,rater3
Response_090,HGQ-HT1-004,,,,,,,,,,rater3
Response_091,HGQ-HT1-012,,,,,,,,,,rater3
Response_092,HGQ-HT3-002,,,,,,,,,,rater3
Response_093,HGQ-HT6-004,,,,,,,,,,rater3
Response_094,HGQ-HT3-006,,,,,,,,,,rater3
Response_095,HGQ-HT5-009,,,,,,,,,,rater3
Response_096,HGQ-HT2-005,,,,,,,,,,rater3
Response_097,HGQ-HT6-008,,,,,,,,,,rater3
Response_098,HGQ-HT4-007,,,,,,,,,,rater3
Response_099,HGQ-HT3-008,,,,,,,,,,rater3
Response_100,HGQ-HT3-011,,,,,,,,,,rater3
Response_101,HGQ-HT4-002,,,,,,,,,,rater3
Response_102,HGQ-HT6-003,,,,,,,,,,rater3
Response_103,HGQ-HT6-005,,,,,,,,,,rater3
Response_104,HGQ-HT3-012,,,,,,,,,,rater3
Response_105,HGQ-HT2-008,,,,,,,,,,rater3
Response_106,HGQ-HT2-002,,,,,,,,,,rater3
Response_107,HGQ-HT4-010,,,,,,,,,,rater3
Response_108,HGQ-HT1-008,,,,,,,,,,rater3
Response_109,HGQ-HT2-009,,,,,,,,,,rater3
Response_110,HGQ-HT4-006,,,,,,,,,,rater3
Response_111,HGQ-HT4-001,,,,,,,,,,rater3
Response_112,HGQ-HT2-006,,,,,,,,,,rater3
Response_113,HGQ-HT6-005,,,,,,,,,,rater3
Response_114,HGQ-HT3-010,,,,,,,,,,rater3
Response_115,HGQ-HT2-001,,,,,,,,,,rater3
Response_116,HGQ-HT4-011,,,,,,,,,,rater3
Response_117,HGQ-HT4-012,,,,,,,,,,rater3
Response_118,HGQ-HT4-008,,,,,,,,,,rater3
Response_119,HGQ-UTIL-001,,,,,,,,,,rater3
Response_120,HGQ-HT1-010,,,,,,,,,,rater3
Response_121,HGQ-HT4-010,,,,,,,,,,rater3
Response_122,HGQ-HT4-009,,,,,,,,,,rater3
Response_123,HGQ-HT1-002,,,,,,,,,,rater3
Response_124,HGQ-HT5-002,,,,,,,,,,rater3
Response_125,HGQ-HT4-006,,,,,,,,,,rater3
Response_126,HGQ-HT7-008,,,,,,,,,,rater3
Response_127,HGQ-HT6-006,,,,,,,,,,rater3
Response_128,HGQ-HT1-009,,,,,,,,,,rater3
Response_129,HGQ-HT4-003,,,,,,,,,,rater3
Response_130,HGQ-HT7-006,,,,,,,,,,rater3
Response_131,HGQ-HT2-004,,,,,,,,,,rater3
Response_132,HGQ-HT5-006,,,,,,,,,,rater3
Response_133,HGQ-HT7-005,,,,,,,,,,rater3
Response_134,HGQ-HT7-007,,,,,,,,,,rater3
Response_135,HGQ-HT1-006,,,,,,,,,,rater3
Response_136,HGQ-HT5-002,,,,,,,,,,rater3
Response_137,HGQ-HT3-003,,,,,,,,,,rater3
Response_138,HGQ-HT5-005,,,,,,,,,,rater3
Response_139,HGQ-HT7-012,,,,,,,,,,rater3
Response_140,HGQ-HT5-001,,,,,,,,,,rater3
Response_141,HGQ-HT5-006,,,,,,,,,,rater3
Response_142,HGQ-HT3-004,,,,,,,,,,rater3
Response_143,HGQ-HT7-007,,,,,,,,,,rater3
Response_144,HGQ-HT4-004,,,,,,,,,,rater3
Response_145,HGQ-HT2-009,,,,,,,,,,rater3
Response_146,HGQ-HT5-004,,,,,,,,,,rater3
Response_147,HGQ-HT6-002,,,,,,,,,,rater3
Response_148,HGQ-HT6-007,,,,,,,,,,rater3
Response_149,HGQ-HT5-008,,,,,,,,,,rater3
Response_150,HGQ-HT4-009,,,,,,,,,,rater3
Response_151,HGQ-HT5-012,,,,,,,,,,rater3
Response_152,HGQ-HT7-011,,,,,,,,,,rater3
Response_153,HGQ-HT1-007,,,,,,,,,,rater3
Response_154,HGQ-HT1-008,,,,,,,,,,rater3
Response_155,HGQ-HT3-010,,,,,,,,,,rater3
Response_156,HGQ-HT6-012,,,,,,,,,,rater3
Response_157,HGQ-HT1-010,,,,,,,,,,rater3
Response_158,HGQ-HT7-008,,,,,,,,,,rater3
Response_159,HGQ-HT3-012,,,,,,,,,,rater3
Response_160,HGQ-HT6-002,,,,,,,,,,rater3
Response_161,HGQ-HT2-005,,,,,,,,,,rater3
Response_162,HGQ-HT1-003,,,,,,,,,,rater3
Response_163,HGQ-HT4-002,,,,,,,,,,rater3
Response_164,HGQ-HT7-004,,,,,,,,,,rater3
Response_165,HGQ-HT4-005,,,,,,,,,,rater3
Response_166,HGQ-HT7-005,,,,,,,,,,rater3
Response_167,HGQ-HT7-010,,,,,,,,,,rater3
Response_168,HGQ-HT1-001,,,,,,,,,,rater3
Response_169,HGQ-HT3-005,,,,,,,,,,rater3
Response_170,HGQ-HT1-009,,,,,,,,,,rater3
Response_171,HGQ-HT6-011,,,,,,,,,,rater3
Response_172,HGQ-HT2-001,,,,,,,,,,rater3
