seed,holdout_n,base_acc,treat_acc,uplift,ci_low,ci_high,ready
20260421,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.3831775700934579,True
20260422,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.39252336448598124,True
20260423,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.39252336448598124,True
20260424,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.10280373831775702,0.3831775700934579,True
20260425,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.10280373831775702,0.39252336448598124,True
20260426,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.3831775700934579,True
20260427,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.39252336448598124,True
20260428,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.38317757009345793,True
20260429,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.39252336448598124,True
20260430,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.10280373831775702,0.38317757009345793,True
20260431,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.08411214953271029,0.3831775700934579,True
20260432,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.10280373831775699,0.3831775700934579,True
20260433,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.08411214953271029,0.38317757009345793,True
20260434,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.3831775700934579,True
20260435,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.10280373831775702,0.3831775700934579,True
20260436,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.10280373831775702,0.39252336448598124,True
20260437,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.10280373831775699,0.39252336448598124,True
20260438,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.10280373831775699,0.39252336448598124,True
20260439,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523363,0.3831775700934579,True
20260440,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.3831775700934579,True
20260441,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.3831775700934579,True
20260442,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.10280373831775699,0.39252336448598124,True
20260443,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.10280373831775699,0.3831775700934579,True
20260444,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.3831775700934579,True
20260445,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.39252336448598124,True
20260446,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.3831775700934579,True
20260447,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.08411214953271029,0.3831775700934579,True
20260448,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.38317757009345793,True
20260449,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.38317757009345793,True
20260450,107,0.205607476635514,0.4485981308411215,0.24299065420560748,0.09345794392523366,0.39252336448598124,True
